address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"21 rue Vicq d'Azir",restaurant,85479,48.876101,2.371252,Paris,"Vicq D'azir",4bb4f2b229269c7480dcca92,0,"Moroccan Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=85479,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85479
"56 rue Saint-Jacques",restaurant,85489,48.833035750379,2.3361338959959,Paris,L'Écir,4bb5e1d81344b713ebae9c04,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=85489,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85489
"75 Avenue Gambetta",restaurant,85493,48.864819417408,2.3973009274625,Paris,"Maison Kevest",4bb610786edc76b0ec54301c,0,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=85493,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85493
"6, Chaussée de la Muette",restaurant,85507,48.858023473754,2.2737944126129,Paris,"Yamazaki",4bb70412941ad13a6e3a20e3,0,"Tea Room",http://tour-pedia.org/api/getPlaceDetails?id=85507,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85507
"11 Place Saint-Michel",restaurant,85521,48.853142,2.343532,Paris,"Café La Fontaine Saint-Michel",4bb7bad798c7ef3b55453002,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=85521,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85521
"16 rue de Rivoli",restaurant,85523,48.855570237612,2.3594067769148,Paris,Rivolux,4bb88cce98c7ef3b6f2a3102,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=85523,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85523
"2 rue Caulaincourt",restaurant,85529,48.884605765343,2.3296597,Paris,"Cafe de Luna",4bb8e45f3db7b713edbe219a,0,"French Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=85529,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85529
"Route de l'Etoile",restaurant,85534,48.874143159638,2.2599649429321,Paris,"Le Tir aux Pigeons",4bb9c5813db7b713cc7e229a,0,"French Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=85534,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85534
"28 bd Ménilmontant",restaurant,85539,48.85955,2.389059,Paris,Obododo,4bba050d7421a5931945c340,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=85539,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85539
"52 rue de l'Hôtel de Ville",restaurant,85545,48.854282173898,2.3554944992065,Paris,"La Caféothèque de Paris",4bbb21a91261d13aa847eb98,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=85545,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85545
"Passage du Havre",restaurant,85548,48.875289830853,2.3272293806076,Paris,Starbucks,4bbb3e25cf2fc9b6c453a202,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=85548,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85548
"7-17 Boulevard Victor",restaurant,85550,48.834185,2.284205,Paris,Osaka,4bbb55a7cf2fc9b6ea70a202,0,"Asian Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=85550,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85550
"90 Rue du Faubourg Saint-Martin",restaurant,85557,48.87289364,2.357902,Paris,"Le Petit Saint-Martin",4bbb78ef0f0776b0b972924f,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=85557,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85557
